Run = 0, optimized Expected Energy: -7.4620179170
Run = 1, optimized Expected Energy: -7.2474538808
Run = 2, optimized Expected Energy: -7.4279605818
Run = 3, optimized Expected Energy: -6.8862875191
Run = 4, optimized Expected Energy: -7.2226055997
Run = 5, optimized Expected Energy: -7.8241825203
Run = 6, optimized Expected Energy: -7.4812044922
Run = 7, optimized Expected Energy: -7.6231788827
Run = 8, optimized Expected Energy: -7.4153306290
Run = 9, optimized Expected Energy: -7.4051844133
Run = 10, optimized Expected Energy: -7.8100928074
Run = 11, optimized Expected Energy: -7.7766654444
Run = 12, optimized Expected Energy: -7.7855182955
Run = 13, optimized Expected Energy: -7.9161032644
Run = 14, optimized Expected Energy: -7.9269580128
Run = 15, optimized Expected Energy: -7.6425457236
Run = 16, optimized Expected Energy: -7.3887406849
Run = 17, optimized Expected Energy: -7.8357157720
Run = 18, optimized Expected Energy: -7.7784648660
Run = 19, optimized Expected Energy: -7.1367600079
Run = 20, optimized Expected Energy: -7.9182622055
Run = 21, optimized Expected Energy: -7.5046102059
Run = 22, optimized Expected Energy: -7.4066522296
Run = 23, optimized Expected Energy: -7.5094513021
Run = 24, optimized Expected Energy: -7.6511284071
Run = 25, optimized Expected Energy: -8.5529239269
Run = 26, optimized Expected Energy: -7.3186679374
Run = 27, optimized Expected Energy: -7.7781652486
Run = 28, optimized Expected Energy: -7.3509499021
Run = 29, optimized Expected Energy: -7.9508293178
-0.2922238615357846
